artist_id,artist_name,genres,folowers,popularity
0yNLKJebCb8Aueb54LYya3,New Order,"['alternative rock', 'dance rock', 'madchester', 'new romantic', 'new wave', 'permanent wave', 'post-punk', 'synthpop', 'uk post-punk']",2110146,65
61MAx7qEOF3nonLvS6mxFm,Llewellyn,"['healing', 'meditation']",24656,47
6XJ5IHDtW2OkjtwVllkANt,Shaun Cassidy,['bubblegum pop'],58435,29
2nrb04b45LG5tjuHHzK5lc,Ludvig Forssell,"['anime', 'video game music']",19238,42
55dlp5I9jyc4UjzlrcKMnq,Isobel Campbell,"['melancholia', 'solo wave']",46681,39
1fg65Qx6tRt0aXBfz5I4w5,Discovery,"['chillwave', 'indietronica']",68340,29
0IA38jACu3c1SNAJ7Aeu4t,Britta Phillips,[],6068,25
5Gn7NoCZvbVlGgtZMILRcv,Satin Jackets,['nu disco'],123299,54
2KlDlqEMf0YyYW8rBKUx6W,Lescop,"['electrofox', 'french indie pop', 'french indietronica', 'french post-punk', 'french psychedelic']",38012,37
0INDB6Snts5NDbzh8jC3lk,Run River North,['stomp and holler'],76519,45
5tyf3H4sgUqM5DxTUXe6Sg,Freestyle,"['bass music', 'freestyle', 'miami bass']",13769,39
3AA28KZvwAUcZuOKwyblJQ,Gorillaz,"['alternative hip hop', 'modern rock', 'rock']",11250242,78
7vPXrGlSGukcwpaPxUfKKR,Japan,"['melancholia', 'new romantic', 'new wave', 'synthpop']",224036,41
5CXWXFfhDhFN5uzbfUwAKt,Lloyd Cole,['new wave pop'],53056,33
2NFrAuh8RQdQoS7iYFbckw,The Midnight,"['nightrun', 'popwave']",467029,58
6Pled8lBAODAviS574l1Q4,Night Moves,['indie rock'],55289,38
1UrfmsMDKHSYXj7SaPjyWL,Jane Weaver,"['chamber psych', 'electra']",30910,32
5RNFFojXkPRmlJZIwXeKQC,Bryan Ferry,"['glam rock', 'melancholia', 'new romantic', 'new wave', 'new wave pop', 'solo wave', 'sophisti-pop']",582635,56
4UvhuGdFf75Cfan7lEU1J1,The Books,"['collage pop', 'folktronica']",90821,37
2rBcvLKWCZs9w1qIWv560v,Charlotte Gainsbourg,['art pop'],226211,45
5KQMtyPE8DCQNUzoNqlEsE,Gary Numan,"['new romantic', 'new wave', 'permanent wave', 'synthpop']",443964,49
2RTTomV6iq54PkO0g3KLOO,Jennifer Touch,['dark synthpop'],5326,24
02G0wSA5mAINnHX3nTCaHi,Baustelle,"['italian adult pop', 'italian alternative']",197087,47
3PALZKWkpwjRvBsRmhlVSS,Gunship,['popwave'],227438,52
6QA7IZGp3o5WoCwOPbNiLS,Sid Luscious and The Pants,[],81,0
0dmPX6ovclgOy8WWJaFEUU,Kraftwerk,"['dusseldorf electronic', 'early synthpop', 'electro', 'proto-techno', 'synthpop']",764240,51
5wwnitxvqbrtiGk3QW3BuN,COMPUTER DATA,[],45532,37
5PYuBRQMHh7nWmdV076sH9,Heaven 17,"['new romantic', 'new wave pop', 'sophisti-pop', 'synthpop']",248235,40
1SgGcKiYCO55coa8sdiamq,Henry Morris,[],50956,44
7wJ9NwdRWtN92NunmXuwBk,Orchestral Manoeuvres In The Dark,"['new romantic', 'new wave', 'new wave pop', 'permanent wave', 'synthpop']",768916,60
4tOVIRjlWWfR1RrAxyRqTE,Chromatics,"['alternative dance', 'art pop', 'chillwave', 'dream pop', 'electronica', 'indietronica', 'modern dream pop', 'neo-synthpop']",423718,54
6PzFRXjgGHQw6K4WeERMK1,Magic Sword,['synthwave'],126471,41
